firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender,carrier
name1,lastname1,November,26,1998,BS Legal Management,+63 918 302 6210,Female,Smart
name2,lastname2,May,26,2001,BS Management,+63 927 212 6276,Female,Globe
name3,lastname3,May,16,1997,BS Communications Technology Management,+63 918 253 7017,Female,Smart
name4,lastname4,December,9,1997,BS IT Entrepreneurship,+63 918 714 4360,Male,Smart
name5,lastname5,September,5,1997,BS Communications Technology Management,+63 927 462 1674,Female,Globe
name6,lastname6,March,2,1999,BS Management,+63 918 629 5268,Female,Smart
name7,lastname7,November,10,1998,BS Legal Management,+63 917 369 7388,Female,Globe
name8,lastname8,August,28,1999,BS Management Engineering,+63 917 240 6000,Male,Globe
name9,lastname9,July,10,1997,BS Management Engineering,+63 918 226 5748,Male,Smart
name10,lastname10,September,14,2001,BS Communications Technology Management,+63 918 342 1717,Female,Smart
name11,lastname11,December,8,1998,BS Legal Management,+63 927 708 1308,Male,Globe
name12,lastname12,May,4,1997,BS Management Engineering,+63 927 747 5497,Male,Globe
name13,lastname13,January,28,1999,BS Communications Technology Management,+63 917 959 4490,Female,Globe
name14,lastname14,January,11,1999,BS Management,+63 927 543 4192,Female,Globe
name15,lastname15,June,6,1998,BS IT Entrepreneurship,+63 917 211 9497,Male,Globe
name16,lastname16,April,20,1999,BS Legal Management,+63 918 185 5162,Male,Smart
name17,lastname17,January,3,1997,BS IT Entrepreneurship,+63 927 146 8146,Female,Globe
name18,lastname18,April,8,1997,BS Management,+63 927 516 4280,Female,Globe
name19,lastname19,December,28,1997,BS IT Entrepreneurship,+63 927 958 6909,Male,Globe
name20,lastname20,March,10,1997,BS Management Engineering,+63 917 514 9105,Male,Globe
name21,lastname21,July,13,1999,BS Legal Management,+63 927 984 7499,Female,Globe
name22,lastname22,September,15,1999,BS IT Entrepreneurship,+63 927 699 3694,Male,Globe
name23,lastname23,April,15,1997,BS Management,+63 917 317 2478,Male,Globe
name24,lastname24,October,1,1997,BS Management Engineering,+63 917 159 3829,Male,Globe
name25,lastname25,May,6,1997,BS Management Engineering,+63 918 898 6972,Male,Smart
name26,lastname26,December,5,1999,BS Management Engineering,+63 917 796 4622,Male,Globe
name27,lastname27,March,4,1997,BS Communications Technology Management,+63 927 138 7580,Female,Globe
name28,lastname28,November,10,2000,BS Legal Management,+63 917 195 9244,Male,Globe
name29,lastname29,October,10,1999,BS Legal Management,+63 917 643 3996,Female,Globe
name30,lastname30,May,28,1999,BS Communications Technology Management,+63 917 758 3119,Male,Globe
name31,lastname31,April,6,1999,BS IT Entrepreneurship,+63 918 669 4265,Male,Smart
name32,lastname32,July,16,1999,BS Management,+63 917 750 8539,Female,Globe
name33,lastname33,December,17,1999,BS IT Entrepreneurship,+63 927 236 9504,Male,Globe
name34,lastname34,October,4,1999,BS Legal Management,+63 917 438 4447,Female,Globe
name35,lastname35,July,14,2001,BS IT Entrepreneurship,+63 917 773 6035,Male,Globe
name36,lastname36,December,11,1998,BS Management,+63 918 455 4185,Male,Smart
name37,lastname37,February,2,2000,BS Management,+63 927 889 9252,Female,Globe
name38,lastname38,August,25,2001,BS Legal Management,+63 927 874 8083,Female,Globe
name39,lastname39,May,3,1997,BS Management Engineering,+63 927 842 3053,Male,Globe
name40,lastname40,February,27,1998,BS Legal Management,+63 927 923 1234,Male,Globe
name41,lastname41,November,16,1999,BS Management,+63 918 381 4956,Male,Smart
name42,lastname42,September,24,1998,BS Legal Management,+63 918 602 9278,Female,Smart
name43,lastname43,January,13,1999,BS Management,+63 918 532 6748,Female,Smart
name44,lastname44,February,25,1998,BS IT Entrepreneurship,+63 917 654 1291,Male,Globe
name45,lastname45,January,27,1997,BS Management Engineering,+63 918 244 1683,Female,Smart
name46,lastname46,December,24,1998,BS Management Engineering,+63 917 818 1190,Female,Globe
name47,lastname47,August,23,1999,BS Management,+63 917 468 6425,Male,Globe
name48,lastname48,April,13,1999,BS IT Entrepreneurship,+63 918 635 1688,Female,Smart
name49,lastname49,October,11,1997,BS Legal Management,+63 917 821 1896,Male,Globe
name50,lastname50,March,25,2001,BS Legal Management,+63 927 924 9506,Male,Globe
name51,lastname51,August,22,1998,BS IT Entrepreneurship,+63 918 854 2626,Female,Smart
name52,lastname52,March,21,1999,BS Communications Technology Management,+63 918 438 9745,Female,Smart
name53,lastname53,December,15,2000,BS Management,+63 917 893 8235,Male,Globe
name54,lastname54,July,10,1998,BS Communications Technology Management,+63 918 216 5250,Female,Smart
name55,lastname55,May,8,1998,BS Management Engineering,+63 917 257 1057,Female,Globe
name56,lastname56,September,9,1998,BS Management Engineering,+63 927 949 5098,Male,Globe
name57,lastname57,May,9,2001,BS Communications Technology Management,+63 927 766 6306,Female,Globe
name58,lastname58,April,6,1997,BS Management Engineering,+63 918 851 8794,Female,Smart
name59,lastname59,April,24,1998,BS IT Entrepreneurship,+63 917 901 2860,Male,Globe
name60,lastname60,August,26,1999,BS IT Entrepreneurship,+63 918 681 5912,Male,Smart
name61,lastname61,September,8,1998,BS Communications Technology Management,+63 918 340 1320,Female,Smart
name62,lastname62,December,7,2000,BS IT Entrepreneurship,+63 927 551 1326,Female,Globe
name63,lastname63,February,22,2000,BS Management Engineering,+63 918 975 4142,Male,Smart
name64,lastname64,November,13,1997,BS IT Entrepreneurship,+63 917 466 1269,Female,Globe
name65,lastname65,March,23,1997,BS Management Engineering,+63 927 627 1302,Female,Globe
name66,lastname66,September,24,1997,BS Legal Management,+63 917 553 5101,Female,Globe
name67,lastname67,December,9,1997,BS Communications Technology Management,+63 917 442 5313,Male,Globe
name68,lastname68,November,4,2001,BS Management,+63 927 715 7133,Male,Globe
name69,lastname69,November,19,1998,BS Communications Technology Management,+63 917 448 4860,Male,Globe
name70,lastname70,May,12,1998,BS Legal Management,+63 917 255 1167,Female,Globe
name71,lastname71,August,19,1999,BS Communications Technology Management,+63 918 461 3486,Female,Smart
name72,lastname72,December,1,1999,BS Management,+63 927 347 7129,Male,Globe
name73,lastname73,June,21,1998,BS Management Engineering,+63 918 404 6593,Male,Smart
name74,lastname74,October,25,1997,BS Legal Management,+63 927 737 8051,Male,Globe
name75,lastname75,September,17,1998,BS IT Entrepreneurship,+63 927 348 7430,Male,Globe
